date_saved,county,county_population,partially_covered,rate_partially_covered,fully_covered,rate_fully_covered,date_updated
2021-03-22,Lawrence,85512,5822,6808.4,11154,13043.8,2021-03-19
2021-03-22,Lebanon,141793,10076,7106.1,13821,9747.3,2021-03-19
2021-03-22,Lehigh,369318,40342,10923.4,53512,14489.4,2021-03-19
2021-03-22,Luzerne,317417,24925,7852.4,51339,16174,2021-03-19
2021-03-22,Lycoming,113299,10009,8834.1,14728,12999.2,2021-03-19
2021-03-22,Mckean,40625,3482,8571.1,3453,8499.7,2021-03-19
2021-03-22,Mercer,109424,7863,7185.8,19558,17873.6,2021-03-19
2021-03-22,Mifflin,46138,2826,6125.1,6411,13895.3,2021-03-19
2021-03-22,Monroe,170271,11414,6703.4,12578,7387,2021-03-19
2021-03-22,Montgomery,830915,120682,14524,75440,9079.1,2021-03-19
2021-03-22,Montour,18230,1312,7196.9,5924,32495.9,2021-03-19
2021-03-22,Northampton,305285,36394,11921.3,43112,14121.9,2021-03-19
2021-03-22,Northumberland,90843,6676,7348.9,14693,16174.1,2021-03-19
2021-03-22,Perry,46272,3145,6796.8,3201,6917.8,2021-03-19
2021-03-22,Philadelphia,1584064,33126,2091.2,25086,1583.6,2021-03-19
2021-03-22,Pike,55809,4597,8237,3978,7127.9,2021-03-19
2021-03-22,Potter,16526,1048,6341.5,1043,6311.3,2021-03-19
2021-03-22,Schuylkill,141359,13417,9491.4,19181,13569,2021-03-19
2021-03-22,Snyder,40372,2662,6593.7,4584,11354.4,2021-03-19
2021-03-22,Somerset,73447,5620,7651.8,7590,10334,2021-03-19
2021-03-22,Sullivan,6066,1237,20392.4,907,14952.2,2021-03-19
2021-03-22,Susquehanna,40328,2549,6320.7,4058,10062.5,2021-03-19
2021-03-22,Tioga,40591,2167,5338.6,3740,9213.9,2021-03-19
2021-03-22,Union,44923,3611,8038.2,5342,11891.5,2021-03-19
2021-03-22,Venango,50668,3511,6929.4,5215,10292.5,2021-03-19
2021-03-22,Warren,39191,3476,8869.4,3586,9150.1,2021-03-19
2021-03-22,Washington,206865,22595,10922.6,28215,13639.3,2021-03-19
2021-03-22,Wayne,51361,5064,9859.6,5819,11329.6,2021-03-19
2021-03-22,Westmoreland,348899,44682,12806.6,42291,12121.3,2021-03-19
2021-03-22,Wyoming,26794,2032,7583.8,3363,12551.3,2021-03-19
2021-03-22,York,449058,35091,7814.4,45124,10048.6,2021-03-19
2021-03-22,Out-of-State,0,118003,,93017,,2021-03-19
2021-03-29,Adams,103009,9205,,10344,,2021-03-26
2021-03-29,Allegheny,1216045,202451,,190146,,2021-03-26
2021-03-29,Armstrong,64735,9531,,9250,,2021-03-26
2021-03-29,Beaver,163929,11906,,14859,,2021-03-26
2021-03-29,Bedford,47888,3818,,3936,,2021-03-26
2021-03-29,Berks,421164,41350,,43521,,2021-03-26
2021-03-29,Blair,121829,9942,,16394,,2021-03-26
2021-03-29,Bradford,60323,2609,,7646,,2021-03-26
2021-03-29,Bucks,628270,77204,,73469,,2021-03-26
2021-03-29,Butler,187853,23511,,34923,,2021-03-26
2021-03-29,Cambria,130192,16623,,20617,,2021-03-26
2021-03-29,Cameron,4447,534,,975,,2021-03-26
2021-03-29,Carbon,64182,7095,,9323,,2021-03-26
